"Freq [GHz]","mag(AxialRatioValue) [] - Phi='0deg' Theta='0deg'"
4.14,4.69624581524937
4.15,4.58389365055148
4.16,4.430117632905
4.17,4.24773841584673
4.18,4.04970688512254
4.19,3.8473027975909
4.2,3.64924716000616
4.21,3.46159712377187
4.22,3.2881108808793
4.23,3.13080158288175
4.24,2.99048663194965
4.25,2.86724950336785
4.26,2.76078628209772
4.27,2.67064921395757
4.28,2.59640926232296
4.29,2.5377613426059
4.3,2.49459198938268
4.31,2.46702506550416
4.32,2.45546108541694
4.33,2.4606191802788
4.34,2.48359626957601
4.35,2.52595448462601
4.36,2.58985710269238
4.37,2.67827230582922
4.38,2.79528206022828
4.39,2.94655122134638
4.4,3.14005399240416
4.41,3.38722845422235
4.42,3.70488575119125
4.43,4.11851151106183
4.44,4.66831297787844
4.45,5.42108383082641
4.46,6.49565292245986
4.47,8.12425354176743
4.48,10.82699796608
4.49,16.0501011466601
4.5,29.8469106542205
